weather,source,seed,k,method,R2,gap,recovery
nw,AU+US pooled,42,82,zero_shot,0.9371394503698877,0.04948992570766053,0.0
nw,AU+US pooled,42,82,CORAL,0.9371394503698877,0.04948992570766053,0.0
nw,AU+US pooled,42,82,importance_weight,0.9380971843646082,0.04948992570766053,0.01935210006937426
nw,AU+US pooled,42,82,few_shot_tree,0.9372571175884654,0.04948992570766053,0.0023775994183709453
nw,AU+US pooled,42,82,mlp_finetune,0.9817771538321188,0.04948992570766053,0.9019553540231262
nw,AU+US pooled,42,82,within_target,0.9866293760775482,0.04948992570766053,1.0
nw,AU+US pooled,1,82,zero_shot,0.9418023094700035,0.04605966553828744,0.0
nw,AU+US pooled,1,82,CORAL,0.9418023094700035,0.04605966553828744,0.0
nw,AU+US pooled,1,82,importance_weight,0.9426283724899169,0.04605966553828744,0.01793462914372926
nw,AU+US pooled,1,82,few_shot_tree,0.9419171642852961,0.04605966553828744,0.002493609407500687
nw,AU+US pooled,1,82,mlp_finetune,0.9862129844525287,0.04605966553828744,0.9641988161118636
nw,AU+US pooled,1,82,within_target,0.987861975008291,0.04605966553828744,1.0
nw,AU+US pooled,2,82,zero_shot,0.9408025346740927,0.048869869219923534,0.0
nw,AU+US pooled,2,82,CORAL,0.9408025346740927,0.048869869219923534,0.0
nw,AU+US pooled,2,82,importance_weight,0.9408634594404518,0.048869869219923534,0.0012466734069807354
nw,AU+US pooled,2,82,few_shot_tree,0.9407150597456246,0.048869869219923534,-0.0017899562627107304
nw,AU+US pooled,2,82,mlp_finetune,0.988166652756129,0.048869869219923534,0.9691885580640488
nw,AU+US pooled,2,82,within_target,0.9896724038940162,0.048869869219923534,1.0
nw,AU+US pooled,7,82,zero_shot,0.9386724418814664,0.05349214754799081,0.0
nw,AU+US pooled,7,82,CORAL,0.9386724418814664,0.05349214754799081,0.0
nw,AU+US pooled,7,82,importance_weight,0.9398395744129611,0.05349214754799081,0.021818763781125006
nw,AU+US pooled,7,82,few_shot_tree,0.9389118813455829,0.05349214754799081,0.004476160989829701
nw,AU+US pooled,7,82,mlp_finetune,0.9873761585677,0.05349214754799081,0.9104834806368317
nw,AU+US pooled,7,82,within_target,0.9921645894294572,0.05349214754799081,1.0
nw,AU+US pooled,123,82,zero_shot,0.9462625961001379,0.041044681764406454,0.0
nw,AU+US pooled,123,82,CORAL,0.9462625961001379,0.041044681764406454,0.0
nw,AU+US pooled,123,82,importance_weight,0.9470429653455628,0.041044681764406454,0.01901267623182388
nw,AU+US pooled,123,82,few_shot_tree,0.9461138804426896,0.041044681764406454,-0.0036232625289153346
nw,AU+US pooled,123,82,mlp_finetune,0.9864722197184035,0.041044681764406454,0.9796549002149902
nw,AU+US pooled,123,82,within_target,0.9873072778645443,0.041044681764406454,1.0
w,Trina_monoSi,42,82,zero_shot,0.8730217433589122,0.11508212753141156,0.0
