weather,source,seed,k,method,R2,zero,within,gap,recovery,gain_a
nw,Trina_monoSi,123,165,tree,0.9403642324919308,0.9348972960634028,0.9873072778645443,0.052409981801141536,0.10431097742546724,1.1122372340800635
nw,Trina_monoSi,123,165,mlp,0.978730956328162,0.9348972960634028,0.9873072778645443,0.052409981801141536,0.83636091367245,1.1122372340800635
nw,Trina_monoSi,123,247,gain,0.962597051939402,0.9348972960634028,0.9873072778645443,0.052409981801141536,0.5285206161891081,1.1069271175814657
nw,Trina_monoSi,123,247,tree,0.9405836001128155,0.9348972960634028,0.9873072778645443,0.052409981801141536,0.1084965850777852,1.1069271175814657
nw,Trina_monoSi,123,247,mlp,0.9859905020987069,0.9348972960634028,0.9873072778645443,0.052409981801141536,0.974875477521941,1.1069271175814657
nw,AU+US pooled,42,5,gain,0.9754055292737663,0.9371394503698877,0.9866293760775482,0.04948992570766053,0.7732094634758258,1.1418082836680514
nw,AU+US pooled,42,5,tree,0.9369324850859618,0.9371394503698877,0.9866293760775482,0.04948992570766053,-0.004181967965528681,1.1418082836680514
nw,AU+US pooled,42,5,mlp,0.9573215121163747,0.9371394503698877,0.9866293760775482,0.04948992570766053,0.4078014152961861,1.1418082836680514
nw,AU+US pooled,42,10,gain,0.9781427033214484,0.9371394503698877,0.9866293760775482,0.04948992570766053,0.8285171651654718,1.1263507490455635
nw,AU+US pooled,42,10,tree,0.9366217288141335,0.9371394503698877,0.9866293760775482,0.04948992570766053,-0.01046115039275555,1.1263507490455635
nw,AU+US pooled,42,10,mlp,0.9835346665843956,0.9371394503698877,0.9866293760775482,0.04948992570766053,0.9374678896987397,1.1263507490455635
